DefaultDisturbanceTypeId,DefaultEcoBoundaryId,AnnualOrder,DMId,Name,Description
151,7,1,295,Deforestation-hydro reservoir-salvage and decay - Atlantic Maritime DM,Deforestation-hydro reservoir-salvage and decay - Atlantic Maritime DM
151,8,1,295,Deforestation-hydro reservoir-salvage and decay - Mixedwood Plains DM,Deforestation-hydro reservoir-salvage and decay - Mixedwood Plains DM
151,9,1,295,Deforestation-hydro reservoir-salvage and decay - Boreal plains DM,Deforestation-hydro reservoir-salvage and decay - Boreal plains DM
151,10,1,295,Deforestation-hydro reservoir-salvage and decay - Subhumid Prairies DM,Deforestation-hydro reservoir-salvage and decay - Subhumid Prairies DM
151,11,1,295,Deforestation-hydro reservoir-salvage and decay - Taiga Cordillera DM,Deforestation-hydro reservoir-salvage and decay - Taiga Cordillera DM
151,12,1,295,Deforestation-hydro reservoir-salvage and decay - Boreal Cordillera DM,Deforestation-hydro reservoir-salvage and decay - Boreal Cordillera DM
151,13,1,295,Deforestation-hydro reservoir-salvage and decay - Pacific Maritime DM,Deforestation-hydro reservoir-salvage and decay - Pacific Maritime DM
151,14,1,295,Deforestation-hydro reservoir-salvage and decay - Montane Cordillera DM,Deforestation-hydro reservoir-salvage and decay - Montane Cordillera DM
151,15,1,295,Deforestation-hydro reservoir-salvage and decay - Hudson Plains DM,Deforestation-hydro reservoir-salvage and decay - Hudson Plains DM
151,16,1,295,Deforestation-hydro reservoir-salvage and decay - Taiga Shield East DM,Deforestation-hydro reservoir-salvage and decay - Taiga Shield East DM
151,17,1,295,Deforestation-hydro reservoir-salvage and decay - Boreal Shield East DM,Deforestation-hydro reservoir-salvage and decay - Boreal Shield East DM
151,18,1,295,Deforestation-hydro reservoir-salvage and decay - Semiarid Prairies DM,Deforestation-hydro reservoir-salvage and decay - Semiarid Prairies DM
155,4,1,142,Deforestation-oil and gas-salvage and burn  - Taiga Plains DM,Deforestation-oil and gas-salvage and burn  - Taiga Plains DM
155,5,1,143,Deforestation-oil and gas-salvage and burn  - Taiga Shield West DM,Deforestation-oil and gas-salvage and burn  - Taiga Shield West DM
155,6,1,145,Deforestation-oil and gas-salvage and burn  - Boreal Shield West DM,Deforestation-oil and gas-salvage and burn  - Boreal Shield West DM
155,7,1,147,Deforestation-oil and gas-salvage and burn  - Atlantic Maritime DM,Deforestation-oil and gas-salvage and burn  - Atlantic Maritime DM
155,8,1,148,Deforestation-oil and gas-salvage and burn  - Mixedwood Plains DM,Deforestation-oil and gas-salvage and burn  - Mixedwood Plains DM
155,9,1,146,Deforestation-oil and gas-salvage and burn  - Boreal plains DM,Deforestation-oil and gas-salvage and burn  - Boreal plains DM
155,10,1,149,Deforestation-oil and gas-salvage and burn  - Subhumid Prairies DM,Deforestation-oil and gas-salvage and burn  - Subhumid Prairies DM
155,11,1,150,Deforestation-oil and gas-salvage and burn  - Taiga Cordillera DM,Deforestation-oil and gas-salvage and burn  - Taiga Cordillera DM
155,12,1,151,Deforestation-oil and gas-salvage and burn  - Boreal Cordillera DM,Deforestation-oil and gas-salvage and burn  - Boreal Cordillera DM
155,13,1,153,Deforestation-oil and gas-salvage and burn  - Pacific Maritime DM,Deforestation-oil and gas-salvage and burn  - Pacific Maritime DM
155,14,1,152,Deforestation-oil and gas-salvage and burn  - Montane Cordillera DM,Deforestation-oil and gas-salvage and burn  - Montane Cordillera DM
155,15,1,154,Deforestation-oil and gas-salvage and burn  - Hudson Plains DM,Deforestation-oil and gas-salvage and burn  - Hudson Plains DM
155,16,1,144,Deforestation-oil and gas-salvage and burn  - Taiga Shield East DM,Deforestation-oil and gas-salvage and burn  - Taiga Shield East DM
155,17,1,155,Deforestation-oil and gas-salvage and burn  - Boreal Shield East DM,Deforestation-oil and gas-salvage and burn  - Boreal Shield East DM
155,18,1,149,Deforestation-oil and gas-salvage and burn  - Semiarid Prairies DM,Deforestation-oil and gas-salvage and burn  - Semiarid Prairies DM
156,4,1,16,Deforestation-oil and gas-salvage and decay - Taiga Plains DM,Deforestation-oil and gas-salvage and decay - Taiga Plains DM
156,5,1,16,Deforestation-oil and gas-salvage and decay - Taiga Shield West DM,Deforestation-oil and gas-salvage and decay - Taiga Shield West DM
156,6,1,16,Deforestation-oil and gas-salvage and decay - Boreal Shield West DM,Deforestation-oil and gas-salvage and decay - Boreal Shield West DM
156,7,1,16,Deforestation-oil and gas-salvage and decay - Atlantic Maritime DM,Deforestation-oil and gas-salvage and decay - Atlantic Maritime DM
156,8,1,16,Deforestation-oil and gas-salvage and decay - Mixedwood Plains DM,Deforestation-oil and gas-salvage and decay - Mixedwood Plains DM
156,9,1,16,Deforestation-oil and gas-salvage and decay - Boreal plains DM,Deforestation-oil and gas-salvage and decay - Boreal plains DM
156,10,1,16,Deforestation-oil and gas-salvage and decay - Subhumid Prairies DM,Deforestation-oil and gas-salvage and decay - Subhumid Prairies DM
156,11,1,16,Deforestation-oil and gas-salvage and decay - Taiga Cordillera DM,Deforestation-oil and gas-salvage and decay - Taiga Cordillera DM
156,12,1,16,Deforestation-oil and gas-salvage and decay - Boreal Cordillera DM,Deforestation-oil and gas-salvage and decay - Boreal Cordillera DM
156,13,1,16,Deforestation-oil and gas-salvage and decay - Pacific Maritime DM,Deforestation-oil and gas-salvage and decay - Pacific Maritime DM
156,14,1,16,Deforestation-oil and gas-salvage and decay - Montane Cordillera DM,Deforestation-oil and gas-salvage and decay - Montane Cordillera DM
156,15,1,16,Deforestation-oil and gas-salvage and decay - Hudson Plains DM,Deforestation-oil and gas-salvage and decay - Hudson Plains DM
156,16,1,16,Deforestation-oil and gas-salvage and decay - Taiga Shield East DM,Deforestation-oil and gas-salvage and decay - Taiga Shield East DM
156,17,1,16,Deforestation-oil and gas-salvage and decay - Boreal Shield East DM,Deforestation-oil and gas-salvage and decay - Boreal Shield East DM
156,18,1,16,Deforestation-oil and gas-salvage and decay - Semiarid Prairies DM,Deforestation-oil and gas-salvage and decay - Semiarid Prairies DM
165,4,1,88,generic 5% mortality - Taiga Plains ecozone,generic 5% mortality - Disturbance Matrix for the Taiga Plains ecozone
165,5,1,88,generic 5% mortality - Taiga Shield West ecozone,generic 5% mortality - Disturbance Matrix for the Taiga Shield West ecozone
165,6,1,88,generic 5% mortality - Boreal Shield West ecozone,generic 5% mortality - Disturbance Matrix for the Boreal Shield West ecozone
165,7,1,88,generic 5% mortality - Atlantic Maritime ecozone,generic 5% mortality - Disturbance Matrix for the Atlantic Maritime ecozone
165,8,1,88,generic 5% mortality - Mixedwood Plains ecozone,generic 5% mortality - Disturbance Matrix for the Mixedwood Plains ecozone
165,9,1,88,generic 5% mortality - Boreal Plains ecozone,generic 5% mortality - Disturbance Matrix for the Boreal Plains ecozone
165,10,1,88,generic 5% mortality - Praires ecozone,generic 5% mortality - Disturbance Matrix for the Praires ecozone
165,11,1,88,generic 5% mortality - Taiga Cordillera ecozone,generic 5% mortality - Disturbance Matrix for the Taiga Cordillera ecozone
165,12,1,88,generic 5% mortality - Boreal Cordillera ecozone,generic 5% mortality - Disturbance Matrix for the Boreal Cordillera ecozone
165,13,1,88,generic 5% mortality - Pacific Maritime ecozone,generic 5% mortality - Disturbance Matrix for the Pacific Maritime ecozone
165,14,1,88,generic 5% mortality - Montane Cordillera ecozone,generic 5% mortality - Disturbance Matrix for the Montane Cordillera ecozone
165,15,1,88,generic 5% mortality - Hudson Plains ecozone,generic 5% mortality - Disturbance Matrix for the Hudson Plains ecozone
165,16,1,88,generic 5% mortality - Taiga Shield East ecozone,generic 5% mortality - Disturbance Matrix for the Taiga Shield East ecozone
165,17,1,88,generic 5% mortality - Boreal Shield East ecozone,generic 5% mortality - Disturbance Matrix for the Boreal Shield East ecozone
165,18,1,88,generic 5% mortality - Praires ecozone,generic 5% mortality - Disturbance Matrix for the Praires ecozone
166,4,1,89,generic 10% mortality - Taiga Plains ecozone,generic 10% mortality - Disturbance Matrix for the Taiga Plains ecozone
166,5,1,89,generic 10% mortality - Taiga Shield West ecozone,generic 10% mortality - Disturbance Matrix for the Taiga Shield West ecozone
166,6,1,89,generic 10% mortality - Boreal Shield West ecozone,generic 10% mortality - Disturbance Matrix for the Boreal Shield West ecozone
166,7,1,89,generic 10% mortality - Atlantic Maritime ecozone,generic 10% mortality - Disturbance Matrix for the Atlantic Maritime ecozone
166,8,1,89,generic 10% mortality - Mixedwood Plains ecozone,generic 10% mortality - Disturbance Matrix for the Mixedwood Plains ecozone
166,9,1,89,generic 10% mortality - Boreal Plains ecozone,generic 10% mortality - Disturbance Matrix for the Boreal Plains ecozone
166,10,1,89,generic 10% mortality - Praires ecozone,generic 10% mortality - Disturbance Matrix for the Praires ecozone
166,11,1,89,generic 10% mortality - Taiga Cordillera ecozone,generic 10% mortality - Disturbance Matrix for the Taiga Cordillera ecozone
166,12,1,89,generic 10% mortality - Boreal Cordillera ecozone,generic 10% mortality - Disturbance Matrix for the Boreal Cordillera ecozone
166,13,1,89,generic 10% mortality - Pacific Maritime ecozone,generic 10% mortality - Disturbance Matrix for the Pacific Maritime ecozone
166,14,1,89,generic 10% mortality - Montane Cordillera ecozone,generic 10% mortality - Disturbance Matrix for the Montane Cordillera ecozone
166,15,1,89,generic 10% mortality - Hudson Plains ecozone,generic 10% mortality - Disturbance Matrix for the Hudson Plains ecozone
166,16,1,89,generic 10% mortality - Taiga Shield East ecozone,generic 10% mortality - Disturbance Matrix for the Taiga Shield East ecozone
166,17,1,89,generic 10% mortality - Boreal Shield East ecozone,generic 10% mortality - Disturbance Matrix for the Boreal Shield East ecozone
166,18,1,89,generic 10% mortality - Praires ecozone,generic 10% mortality - Disturbance Matrix for the Praires ecozone
167,4,1,90,generic 15% mortality - Taiga Plains ecozone,generic 15% mortality - Disturbance Matrix for the Taiga Plains ecozone
167,5,1,90,generic 15% mortality - Taiga Shield West ecozone,generic 15% mortality - Disturbance Matrix for the Taiga Shield West ecozone
167,6,1,90,generic 15% mortality - Boreal Shield West ecozone,generic 15% mortality - Disturbance Matrix for the Boreal Shield West ecozone
167,7,1,90,generic 15% mortality - Atlantic Maritime ecozone,generic 15% mortality - Disturbance Matrix for the Atlantic Maritime ecozone
167,8,1,90,generic 15% mortality - Mixedwood Plains ecozone,generic 15% mortality - Disturbance Matrix for the Mixedwood Plains ecozone
167,9,1,90,generic 15% mortality - Boreal Plains ecozone,generic 15% mortality - Disturbance Matrix for the Boreal Plains ecozone
167,10,1,90,generic 15% mortality - Praires ecozone,generic 15% mortality - Disturbance Matrix for the Praires ecozone
167,11,1,90,generic 15% mortality - Taiga Cordillera ecozone,generic 15% mortality - Disturbance Matrix for the Taiga Cordillera ecozone
167,12,1,90,generic 15% mortality - Boreal Cordillera ecozone,generic 15% mortality - Disturbance Matrix for the Boreal Cordillera ecozone
167,13,1,90,generic 15% mortality - Pacific Maritime ecozone,generic 15% mortality - Disturbance Matrix for the Pacific Maritime ecozone
167,14,1,90,generic 15% mortality - Montane Cordillera ecozone,generic 15% mortality - Disturbance Matrix for the Montane Cordillera ecozone
167,15,1,90,generic 15% mortality - Hudson Plains ecozone,generic 15% mortality - Disturbance Matrix for the Hudson Plains ecozone
167,16,1,90,generic 15% mortality - Taiga Shield East ecozone,generic 15% mortality - Disturbance Matrix for the Taiga Shield East ecozone
167,17,1,90,generic 15% mortality - Boreal Shield East ecozone,generic 15% mortality - Disturbance Matrix for the Boreal Shield East ecozone
167,18,1,90,generic 15% mortality - Praires ecozone,generic 15% mortality - Disturbance Matrix for the Praires ecozone
168,4,1,91,generic 20% mortality - Taiga Plains ecozone,generic 20% mortality - Disturbance Matrix for the Taiga Plains ecozone
168,5,1,91,generic 20% mortality - Taiga Shield West ecozone,generic 20% mortality - Disturbance Matrix for the Taiga Shield West ecozone
168,6,1,91,generic 20% mortality - Boreal Shield West ecozone,generic 20% mortality - Disturbance Matrix for the Boreal Shield West ecozone
168,7,1,91,generic 20% mortality - Atlantic Maritime ecozone,generic 20% mortality - Disturbance Matrix for the Atlantic Maritime ecozone
168,8,1,91,generic 20% mortality - Mixedwood Plains ecozone,generic 20% mortality - Disturbance Matrix for the Mixedwood Plains ecozone
168,9,1,91,generic 20% mortality - Boreal Plains ecozone,generic 20% mortality - Disturbance Matrix for the Boreal Plains ecozone
168,10,1,91,generic 20% mortality - Praires ecozone,generic 20% mortality - Disturbance Matrix for the Praires ecozone
168,11,1,91,generic 20% mortality - Taiga Cordillera ecozone,generic 20% mortality - Disturbance Matrix for the Taiga Cordillera ecozone
168,12,1,91,generic 20% mortality - Boreal Cordillera ecozone,generic 20% mortality - Disturbance Matrix for the Boreal Cordillera ecozone
168,13,1,91,generic 20% mortality - Pacific Maritime ecozone,generic 20% mortality - Disturbance Matrix for the Pacific Maritime ecozone
168,14,1,91,generic 20% mortality - Montane Cordillera ecozone,generic 20% mortality - Disturbance Matrix for the Montane Cordillera ecozone
168,15,1,91,generic 20% mortality - Hudson Plains ecozone,generic 20% mortality - Disturbance Matrix for the Hudson Plains ecozone
168,16,1,91,generic 20% mortality - Taiga Shield East ecozone,generic 20% mortality - Disturbance Matrix for the Taiga Shield East ecozone
168,17,1,91,generic 20% mortality - Boreal Shield East ecozone,generic 20% mortality - Disturbance Matrix for the Boreal Shield East ecozone
168,18,1,91,generic 20% mortality - Praires ecozone,generic 20% mortality - Disturbance Matrix for the Praires ecozone
169,4,1,92,generic 25% mortality - Taiga Plains ecozone,generic 25% mortality - Disturbance Matrix for the Taiga Plains ecozone
169,5,1,92,generic 25% mortality - Taiga Shield West ecozone,generic 25% mortality - Disturbance Matrix for the Taiga Shield West ecozone
169,6,1,92,generic 25% mortality - Boreal Shield West ecozone,generic 25% mortality - Disturbance Matrix for the Boreal Shield West ecozone
169,7,1,92,generic 25% mortality - Atlantic Maritime ecozone,generic 25% mortality - Disturbance Matrix for the Atlantic Maritime ecozone
169,8,1,92,generic 25% mortality - Mixedwood Plains ecozone,generic 25% mortality - Disturbance Matrix for the Mixedwood Plains ecozone
169,9,1,92,generic 25% mortality - Boreal Plains ecozone,generic 25% mortality - Disturbance Matrix for the Boreal Plains ecozone
169,10,1,92,generic 25% mortality - Praires ecozone,generic 25% mortality - Disturbance Matrix for the Praires ecozone
169,11,1,92,generic 25% mortality - Taiga Cordillera ecozone,generic 25% mortality - Disturbance Matrix for the Taiga Cordillera ecozone
169,12,1,92,generic 25% mortality - Boreal Cordillera ecozone,generic 25% mortality - Disturbance Matrix for the Boreal Cordillera ecozone
169,13,1,92,generic 25% mortality - Pacific Maritime ecozone,generic 25% mortality - Disturbance Matrix for the Pacific Maritime ecozone
169,14,1,92,generic 25% mortality - Montane Cordillera ecozone,generic 25% mortality - Disturbance Matrix for the Montane Cordillera ecozone
169,15,1,92,generic 25% mortality - Hudson Plains ecozone,generic 25% mortality - Disturbance Matrix for the Hudson Plains ecozone
169,16,1,92,generic 25% mortality - Taiga Shield East ecozone,generic 25% mortality - Disturbance Matrix for the Taiga Shield East ecozone
169,17,1,92,generic 25% mortality - Boreal Shield East ecozone,generic 25% mortality - Disturbance Matrix for the Boreal Shield East ecozone
169,18,1,92,generic 25% mortality - Praires ecozone,generic 25% mortality - Disturbance Matrix for the Praires ecozone
170,4,1,93,generic 30% mortality - Taiga Plains ecozone,generic 30% mortality - Disturbance Matrix for the Taiga Plains ecozone
170,5,1,93,generic 30% mortality - Taiga Shield West ecozone,generic 30% mortality - Disturbance Matrix for the Taiga Shield West ecozone
170,6,1,93,generic 30% mortality - Boreal Shield West ecozone,generic 30% mortality - Disturbance Matrix for the Boreal Shield West ecozone
170,7,1,93,generic 30% mortality - Atlantic Maritime ecozone,generic 30% mortality - Disturbance Matrix for the Atlantic Maritime ecozone
170,8,1,93,generic 30% mortality - Mixedwood Plains ecozone,generic 30% mortality - Disturbance Matrix for the Mixedwood Plains ecozone
170,9,1,93,generic 30% mortality - Boreal Plains ecozone,generic 30% mortality - Disturbance Matrix for the Boreal Plains ecozone
170,10,1,93,generic 30% mortality - Praires ecozone,generic 30% mortality - Disturbance Matrix for the Praires ecozone
170,11,1,93,generic 30% mortality - Taiga Cordillera ecozone,generic 30% mortality - Disturbance Matrix for the Taiga Cordillera ecozone
170,12,1,93,generic 30% mortality - Boreal Cordillera ecozone,generic 30% mortality - Disturbance Matrix for the Boreal Cordillera ecozone
170,13,1,93,generic 30% mortality - Pacific Maritime ecozone,generic 30% mortality - Disturbance Matrix for the Pacific Maritime ecozone
170,14,1,93,generic 30% mortality - Montane Cordillera ecozone,generic 30% mortality - Disturbance Matrix for the Montane Cordillera ecozone
170,15,1,93,generic 30% mortality - Hudson Plains ecozone,generic 30% mortality - Disturbance Matrix for the Hudson Plains ecozone
170,16,1,93,generic 30% mortality - Taiga Shield East ecozone,generic 30% mortality - Disturbance Matrix for the Taiga Shield East ecozone
170,17,1,93,generic 30% mortality - Boreal Shield East ecozone,generic 30% mortality - Disturbance Matrix for the Boreal Shield East ecozone
170,18,1,93,generic 30% mortality - Praires ecozone,generic 30% mortality - Disturbance Matrix for the Praires ecozone
171,4,1,94,generic 35% mortality - Taiga Plains ecozone,generic 35% mortality - Disturbance Matrix for the Taiga Plains ecozone
171,5,1,94,generic 35% mortality - Taiga Shield West ecozone,generic 35% mortality - Disturbance Matrix for the Taiga Shield West ecozone
171,6,1,94,generic 35% mortality - Boreal Shield West ecozone,generic 35% mortality - Disturbance Matrix for the Boreal Shield West ecozone
171,7,1,94,generic 35% mortality - Atlantic Maritime ecozone,generic 35% mortality - Disturbance Matrix for the Atlantic Maritime ecozone
171,8,1,94,generic 35% mortality - Mixedwood Plains ecozone,generic 35% mortality - Disturbance Matrix for the Mixedwood Plains ecozone
171,9,1,94,generic 35% mortality - Boreal Plains ecozone,generic 35% mortality - Disturbance Matrix for the Boreal Plains ecozone
171,10,1,94,generic 35% mortality - Praires ecozone,generic 35% mortality - Disturbance Matrix for the Praires ecozone
171,11,1,94,generic 35% mortality - Taiga Cordillera ecozone,generic 35% mortality - Disturbance Matrix for the Taiga Cordillera ecozone
171,12,1,94,generic 35% mortality - Boreal Cordillera ecozone,generic 35% mortality - Disturbance Matrix for the Boreal Cordillera ecozone
171,13,1,94,generic 35% mortality - Pacific Maritime ecozone,generic 35% mortality - Disturbance Matrix for the Pacific Maritime ecozone
171,14,1,94,generic 35% mortality - Montane Cordillera ecozone,generic 35% mortality - Disturbance Matrix for the Montane Cordillera ecozone
171,15,1,94,generic 35% mortality - Hudson Plains ecozone,generic 35% mortality - Disturbance Matrix for the Hudson Plains ecozone
171,16,1,94,generic 35% mortality - Taiga Shield East ecozone,generic 35% mortality - Disturbance Matrix for the Taiga Shield East ecozone
171,17,1,94,generic 35% mortality - Boreal Shield East ecozone,generic 35% mortality - Disturbance Matrix for the Boreal Shield East ecozone
171,18,1,94,generic 35% mortality - Praires ecozone,generic 35% mortality - Disturbance Matrix for the Praires ecozone
172,4,1,95,generic 40% mortality - Taiga Plains ecozone,generic 40% mortality - Disturbance Matrix for the Taiga Plains ecozone
172,5,1,95,generic 40% mortality - Taiga Shield West ecozone,generic 40% mortality - Disturbance Matrix for the Taiga Shield West ecozone
172,6,1,95,generic 40% mortality - Boreal Shield West ecozone,generic 40% mortality - Disturbance Matrix for the Boreal Shield West ecozone
172,7,1,95,generic 40% mortality - Atlantic Maritime ecozone,generic 40% mortality - Disturbance Matrix for the Atlantic Maritime ecozone
172,8,1,95,generic 40% mortality - Mixedwood Plains ecozone,generic 40% mortality - Disturbance Matrix for the Mixedwood Plains ecozone
172,9,1,95,generic 40% mortality - Boreal Plains ecozone,generic 40% mortality - Disturbance Matrix for the Boreal Plains ecozone
172,10,1,95,generic 40% mortality - Praires ecozone,generic 40% mortality - Disturbance Matrix for the Praires ecozone
172,11,1,95,generic 40% mortality - Taiga Cordillera ecozone,generic 40% mortality - Disturbance Matrix for the Taiga Cordillera ecozone
172,12,1,95,generic 40% mortality - Boreal Cordillera ecozone,generic 40% mortality - Disturbance Matrix for the Boreal Cordillera ecozone
172,13,1,95,generic 40% mortality - Pacific Maritime ecozone,generic 40% mortality - Disturbance Matrix for the Pacific Maritime ecozone
172,14,1,95,generic 40% mortality - Montane Cordillera ecozone,generic 40% mortality - Disturbance Matrix for the Montane Cordillera ecozone
172,15,1,95,generic 40% mortality - Hudson Plains ecozone,generic 40% mortality - Disturbance Matrix for the Hudson Plains ecozone
172,16,1,95,generic 40% mortality - Taiga Shield East ecozone,generic 40% mortality - Disturbance Matrix for the Taiga Shield East ecozone
172,17,1,95,generic 40% mortality - Boreal Shield East ecozone,generic 40% mortality - Disturbance Matrix for the Boreal Shield East ecozone
172,18,1,95,generic 40% mortality - Praires ecozone,generic 40% mortality - Disturbance Matrix for the Praires ecozone
173,4,1,96,generic 45% mortality - Taiga Plains ecozone,generic 45% mortality - Disturbance Matrix for the Taiga Plains ecozone
173,5,1,96,generic 45% mortality - Taiga Shield West ecozone,generic 45% mortality - Disturbance Matrix for the Taiga Shield West ecozone
173,6,1,96,generic 45% mortality - Boreal Shield West ecozone,generic 45% mortality - Disturbance Matrix for the Boreal Shield West ecozone
173,7,1,96,generic 45% mortality - Atlantic Maritime ecozone,generic 45% mortality - Disturbance Matrix for the Atlantic Maritime ecozone
173,8,1,96,generic 45% mortality - Mixedwood Plains ecozone,generic 45% mortality - Disturbance Matrix for the Mixedwood Plains ecozone
173,9,1,96,generic 45% mortality - Boreal Plains ecozone,generic 45% mortality - Disturbance Matrix for the Boreal Plains ecozone
173,10,1,96,generic 45% mortality - Praires ecozone,generic 45% mortality - Disturbance Matrix for the Praires ecozone
173,11,1,96,generic 45% mortality - Taiga Cordillera ecozone,generic 45% mortality - Disturbance Matrix for the Taiga Cordillera ecozone
173,12,1,96,generic 45% mortality - Boreal Cordillera ecozone,generic 45% mortality - Disturbance Matrix for the Boreal Cordillera ecozone
173,13,1,96,generic 45% mortality - Pacific Maritime ecozone,generic 45% mortality - Disturbance Matrix for the Pacific Maritime ecozone
173,14,1,96,generic 45% mortality - Montane Cordillera ecozone,generic 45% mortality - Disturbance Matrix for the Montane Cordillera ecozone
173,15,1,96,generic 45% mortality - Hudson Plains ecozone,generic 45% mortality - Disturbance Matrix for the Hudson Plains ecozone
173,16,1,96,generic 45% mortality - Taiga Shield East ecozone,generic 45% mortality - Disturbance Matrix for the Taiga Shield East ecozone
173,17,1,96,generic 45% mortality - Boreal Shield East ecozone,generic 45% mortality - Disturbance Matrix for the Boreal Shield East ecozone
173,18,1,96,generic 45% mortality - Praires ecozone,generic 45% mortality - Disturbance Matrix for the Praires ecozone
174,4,1,97,generic 50% mortality - Taiga Plains ecozone,generic 50% mortality - Disturbance Matrix for the Taiga Plains ecozone
174,5,1,97,generic 50% mortality - Taiga Shield West ecozone,generic 50% mortality - Disturbance Matrix for the Taiga Shield West ecozone
174,6,1,97,generic 50% mortality - Boreal Shield West ecozone,generic 50% mortality - Disturbance Matrix for the Boreal Shield West ecozone
174,7,1,97,generic 50% mortality - Atlantic Maritime ecozone,generic 50% mortality - Disturbance Matrix for the Atlantic Maritime ecozone
174,8,1,97,generic 50% mortality - Mixedwood Plains ecozone,generic 50% mortality - Disturbance Matrix for the Mixedwood Plains ecozone
174,9,1,97,generic 50% mortality - Boreal Plains ecozone,generic 50% mortality - Disturbance Matrix for the Boreal Plains ecozone
174,10,1,97,generic 50% mortality - Praires ecozone,generic 50% mortality - Disturbance Matrix for the Praires ecozone
174,11,1,97,generic 50% mortality - Taiga Cordillera ecozone,generic 50% mortality - Disturbance Matrix for the Taiga Cordillera ecozone
174,12,1,97,generic 50% mortality - Boreal Cordillera ecozone,generic 50% mortality - Disturbance Matrix for the Boreal Cordillera ecozone
174,13,1,97,generic 50% mortality - Pacific Maritime ecozone,generic 50% mortality - Disturbance Matrix for the Pacific Maritime ecozone
174,14,1,97,generic 50% mortality - Montane Cordillera ecozone,generic 50% mortality - Disturbance Matrix for the Montane Cordillera ecozone
174,15,1,97,generic 50% mortality - Hudson Plains ecozone,generic 50% mortality - Disturbance Matrix for the Hudson Plains ecozone
174,16,1,97,generic 50% mortality - Taiga Shield East ecozone,generic 50% mortality - Disturbance Matrix for the Taiga Shield East ecozone
174,17,1,97,generic 50% mortality - Boreal Shield East ecozone,generic 50% mortality - Disturbance Matrix for the Boreal Shield East ecozone
174,18,1,97,generic 50% mortality - Praires ecozone,generic 50% mortality - Disturbance Matrix for the Praires ecozone
175,4,1,98,generic 55% mortality - Taiga Plains ecozone,generic 55% mortality - Disturbance Matrix for the Taiga Plains ecozone
175,5,1,98,generic 55% mortality - Taiga Shield West ecozone,generic 55% mortality - Disturbance Matrix for the Taiga Shield West ecozone
175,6,1,98,generic 55% mortality - Boreal Shield West ecozone,generic 55% mortality - Disturbance Matrix for the Boreal Shield West ecozone
175,7,1,98,generic 55% mortality - Atlantic Maritime ecozone,generic 55% mortality - Disturbance Matrix for the Atlantic Maritime ecozone
175,8,1,98,generic 55% mortality - Mixedwood Plains ecozone,generic 55% mortality - Disturbance Matrix for the Mixedwood Plains ecozone
175,9,1,98,generic 55% mortality - Boreal Plains ecozone,generic 55% mortality - Disturbance Matrix for the Boreal Plains ecozone
175,10,1,98,generic 55% mortality - Praires ecozone,generic 55% mortality - Disturbance Matrix for the Praires ecozone
175,11,1,98,generic 55% mortality - Taiga Cordillera ecozone,generic 55% mortality - Disturbance Matrix for the Taiga Cordillera ecozone
175,12,1,98,generic 55% mortality - Boreal Cordillera ecozone,generic 55% mortality - Disturbance Matrix for the Boreal Cordillera ecozone
175,13,1,98,generic 55% mortality - Pacific Maritime ecozone,generic 55% mortality - Disturbance Matrix for the Pacific Maritime ecozone
175,14,1,98,generic 55% mortality - Montane Cordillera ecozone,generic 55% mortality - Disturbance Matrix for the Montane Cordillera ecozone
175,15,1,98,generic 55% mortality - Hudson Plains ecozone,generic 55% mortality - Disturbance Matrix for the Hudson Plains ecozone
175,16,1,98,generic 55% mortality - Taiga Shield East ecozone,generic 55% mortality - Disturbance Matrix for the Taiga Shield East ecozone
175,17,1,98,generic 55% mortality - Boreal Shield East ecozone,generic 55% mortality - Disturbance Matrix for the Boreal Shield East ecozone
175,18,1,98,generic 55% mortality - Praires ecozone,generic 55% mortality - Disturbance Matrix for the Praires ecozone
176,4,1,99,generic 60% mortality - Taiga Plains ecozone,generic 60% mortality - Disturbance Matrix for the Taiga Plains ecozone
176,5,1,99,generic 60% mortality - Taiga Shield West ecozone,generic 60% mortality - Disturbance Matrix for the Taiga Shield West ecozone
176,6,1,99,generic 60% mortality - Boreal Shield West ecozone,generic 60% mortality - Disturbance Matrix for the Boreal Shield West ecozone
176,7,1,99,generic 60% mortality - Atlantic Maritime ecozone,generic 60% mortality - Disturbance Matrix for the Atlantic Maritime ecozone
176,8,1,99,generic 60% mortality - Mixedwood Plains ecozone,generic 60% mortality - Disturbance Matrix for the Mixedwood Plains ecozone
176,9,1,99,generic 60% mortality - Boreal Plains ecozone,generic 60% mortality - Disturbance Matrix for the Boreal Plains ecozone
176,10,1,99,generic 60% mortality - Praires ecozone,generic 60% mortality - Disturbance Matrix for the Praires ecozone
176,11,1,99,generic 60% mortality - Taiga Cordillera ecozone,generic 60% mortality - Disturbance Matrix for the Taiga Cordillera ecozone
176,12,1,99,generic 60% mortality - Boreal Cordillera ecozone,generic 60% mortality - Disturbance Matrix for the Boreal Cordillera ecozone
176,13,1,99,generic 60% mortality - Pacific Maritime ecozone,generic 60% mortality - Disturbance Matrix for the Pacific Maritime ecozone
176,14,1,99,generic 60% mortality - Montane Cordillera ecozone,generic 60% mortality - Disturbance Matrix for the Montane Cordillera ecozone
176,15,1,99,generic 60% mortality - Hudson Plains ecozone,generic 60% mortality - Disturbance Matrix for the Hudson Plains ecozone
